scene,ray_kind,ray_order,bvh_builder,width,height,max_leaf_triangles,timing_scope,sample_index,milliseconds
Grid,primary,packet-shuffled,builtin-binned-SAH,256,144,16,separated-traversal,1,1.39462399
Grid,primary,packet-shuffled,builtin-binned-SAH,256,144,16,separated-traversal,2,1.39468801
Grid,primary,packet-shuffled,builtin-binned-SAH,256,144,16,separated-traversal,3,1.39673603
Grid,primary,packet-shuffled,builtin-binned-SAH,256,144,16,separated-traversal,4,1.393664
Grid,primary,packet-shuffled,builtin-binned-SAH,256,144,16,separated-traversal,5,1.40083206
Grid,primary,packet-shuffled,builtin-binned-SAH,256,144,16,separated-traversal,6,1.38854396
Grid,primary,packet-shuffled,builtin-binned-SAH,256,144,16,separated-traversal,7,1.39443195
Grid,primary,packet-shuffled,builtin-binned-SAH,256,144,16,separated-traversal,8,1.39952004
Grid,primary,packet-shuffled,builtin-binned-SAH,256,144,16,separated-matched-leaves,0,0.276479989
Grid,primary,packet-shuffled,builtin-binned-SAH,256,144,16,separated-matched-leaves,1,0.250880003
Grid,primary,packet-shuffled,builtin-binned-SAH,256,144,16,separated-matched-leaves,2,0.248832002
Grid,primary,packet-shuffled,builtin-binned-SAH,256,144,16,separated-matched-leaves,3,0.251904011
Grid,primary,packet-shuffled,builtin-binned-SAH,256,144,16,separated-matched-leaves,4,0.248799995
Grid,primary,packet-shuffled,builtin-binned-SAH,256,144,16,separated-matched-leaves,5,0.252927989
Grid,primary,packet-shuffled,builtin-binned-SAH,256,144,16,separated-matched-leaves,6,0.251904011
Grid,primary,packet-shuffled,builtin-binned-SAH,256,144,16,separated-matched-leaves,7,0.253663987
Grid,primary,packet-shuffled,builtin-binned-SAH,256,144,16,separated-matched-leaves,8,0.253663987
Grid,primary,packet-shuffled,builtin-binned-SAH,256,144,16,separated-tensor-leaves,0,0.396288007
Grid,primary,packet-shuffled,builtin-binned-SAH,256,144,16,separated-tensor-leaves,1,0.400384009
Grid,primary,packet-shuffled,builtin-binned-SAH,256,144,16,separated-tensor-leaves,2,0.395264
Grid,primary,packet-shuffled,builtin-binned-SAH,256,144,16,separated-tensor-leaves,3,0.397215992
Grid,primary,packet-shuffled,builtin-binned-SAH,256,144,16,separated-tensor-leaves,4,0.397376001
Grid,primary,packet-shuffled,builtin-binned-SAH,256,144,16,separated-tensor-leaves,5,0.398335993
Grid,primary,packet-shuffled,builtin-binned-SAH,256,144,16,separated-tensor-leaves,6,0.394944012
Grid,primary,packet-shuffled,builtin-binned-SAH,256,144,16,separated-tensor-leaves,7,0.389120013
Grid,primary,packet-shuffled,builtin-binned-SAH,256,144,16,separated-tensor-leaves,8,0.400224
Grid,primary,coherent,TinyBVH-binned-SAH,256,144,16,integrated-cuda32,0,0.337664008
Grid,primary,coherent,TinyBVH-binned-SAH,256,144,16,integrated-cuda32,1,0.326815993
Grid,primary,coherent,TinyBVH-binned-SAH,256,144,16,integrated-cuda32,2,0.32358399
Grid,primary,coherent,TinyBVH-binned-SAH,256,144,16,integrated-cuda32,3,0.318495989
Grid,primary,coherent,TinyBVH-binned-SAH,256,144,16,integrated-cuda32,4,0.325632006
Grid,primary,coherent,TinyBVH-binned-SAH,256,144,16,integrated-cuda32,5,0.322560012
Grid,primary,coherent,TinyBVH-binned-SAH,256,144,16,integrated-cuda32,6,0.318432003
Grid,primary,coherent,TinyBVH-binned-SAH,256,144,16,integrated-cuda32,7,0.319456011
Grid,primary,coherent,TinyBVH-binned-SAH,256,144,16,integrated-cuda32,8,0.328704
Grid,primary,coherent,TinyBVH-binned-SAH,256,144,16,integrated-matched,0,0.820159972
Grid,primary,coherent,TinyBVH-binned-SAH,256,144,16,integrated-matched,1,0.82841599
Grid,primary,coherent,TinyBVH-binned-SAH,256,144,16,integrated-matched,2,0.817152023
Grid,primary,coherent,TinyBVH-binned-SAH,256,144,16,integrated-matched,3,0.829439998
Grid,primary,coherent,TinyBVH-binned-SAH,256,144,16,integrated-matched,4,0.824320018
Grid,primary,coherent,TinyBVH-binned-SAH,256,144,16,integrated-matched,5,0.813856006
Grid,primary,coherent,TinyBVH-binned-SAH,256,144,16,integrated-matched,6,0.817152023
Grid,primary,coherent,TinyBVH-binned-SAH,256,144,16,integrated-matched,7,0.819872022
Grid,primary,coherent,TinyBVH-binned-SAH,256,144,16,integrated-matched,8,0.81379199
Grid,primary,coherent,TinyBVH-binned-SAH,256,144,16,integrated-tensor,0,0.897023976
Grid,primary,coherent,TinyBVH-binned-SAH,256,144,16,integrated-tensor,1,0.916480005
