scene,ray_kind,ray_order,bvh_builder,width,height,max_leaf_triangles,timing_scope,sample_index,milliseconds
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,256,144,16,separated-traversal,1,0.744448006
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,256,144,16,separated-traversal,2,0.74752003
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,256,144,16,separated-traversal,3,0.752640009
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,256,144,16,separated-traversal,4,0.753664017
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,256,144,16,separated-traversal,5,0.746303976
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,256,144,16,separated-traversal,6,0.752640009
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,256,144,16,separated-traversal,7,0.742367983
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,256,144,16,separated-traversal,8,0.744448006
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,256,144,16,separated-matched-leaves,0,0.357216001
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,256,144,16,separated-matched-leaves,1,0.33792001
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,256,144,16,separated-matched-leaves,2,0.335776001
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,256,144,16,separated-matched-leaves,3,0.333824009
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,256,144,16,separated-matched-leaves,4,0.333824009
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,256,144,16,separated-matched-leaves,5,0.333824009
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,256,144,16,separated-matched-leaves,6,0.335743994
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,256,144,16,separated-matched-leaves,7,0.334847987
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,256,144,16,separated-matched-leaves,8,0.333824009
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,256,144,16,separated-tensor-leaves,0,0.549920022
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,256,144,16,separated-tensor-leaves,1,0.551935971
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,256,144,16,separated-tensor-leaves,2,0.551680028
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,256,144,16,separated-tensor-leaves,3,0.49971199
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,256,144,16,separated-tensor-leaves,4,0.431104004
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,256,144,16,separated-tensor-leaves,5,0.432128012
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,256,144,16,separated-tensor-leaves,6,0.432063997
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,256,144,16,separated-tensor-leaves,7,0.431104004
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,256,144,16,separated-tensor-leaves,8,0.432191998
CheckerLow,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,integrated-cuda32,0,0.228128001
CheckerLow,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,integrated-cuda32,1,0.237568006
CheckerLow,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,integrated-cuda32,2,0.233472005
CheckerLow,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,integrated-cuda32,3,0.222143993
CheckerLow,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,integrated-cuda32,4,0.233408004
CheckerLow,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,integrated-cuda32,5,0.240288004
CheckerLow,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,integrated-cuda32,6,0.222207993
CheckerLow,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,integrated-cuda32,7,0.235520005
CheckerLow,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,integrated-cuda32,8,0.234495997
CheckerLow,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,integrated-matched,0,0.331775993
CheckerLow,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,integrated-matched,1,0.366495997
CheckerLow,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,integrated-matched,2,0.333824009
CheckerLow,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,integrated-matched,3,0.335871994
CheckerLow,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,integrated-matched,4,0.363424003
CheckerLow,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,integrated-matched,5,0.333824009
CheckerLow,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,integrated-matched,6,0.334847987
CheckerLow,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,integrated-matched,7,0.363391995
CheckerLow,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,integrated-matched,8,0.332800001
CheckerLow,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,integrated-tensor,0,0.441343993
CheckerLow,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,integrated-tensor,1,0.438271999
CheckerLow,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,integrated-tensor,2,0.436224014
CheckerLow,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,integrated-tensor,3,0.438528001
CheckerLow,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,integrated-tensor,4,0.439296007
CheckerLow,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,integrated-tensor,5,0.431104004
CheckerLow,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,integrated-tensor,6,0.440319985
CheckerLow,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,integrated-tensor,7,0.443168014
CheckerLow,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,integrated-tensor,8,0.432000011
CheckerLow,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,separated-traversal,0,0.199680001
CheckerLow,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,separated-traversal,1,0.199680001
CheckerLow,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,separated-traversal,2,0.198655993
CheckerLow,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,separated-traversal,3,0.199520007
CheckerLow,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,separated-traversal,4,0.198655993
CheckerLow,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,separated-traversal,5,0.199680001
CheckerLow,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,separated-traversal,6,0.197632
CheckerLow,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,separated-traversal,7,0.199552
CheckerLow,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,separated-traversal,8,0.198655993
CheckerLow,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,separated-matched-leaves,0,0.172031999
CheckerLow,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,separated-matched-leaves,1,0.162591994
CheckerLow,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,separated-matched-leaves,2,0.161791995
CheckerLow,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,separated-matched-leaves,3,0.161791995
CheckerLow,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,separated-matched-leaves,4,0.160768002
CheckerLow,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,separated-matched-leaves,5,0.162624002
CheckerLow,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,separated-matched-leaves,6,0.161791995
